|   |  0|  00|  1| 10|  2|  3|  4|  5|  6|  7|  8|
|:--|--:|---:|--:|--:|--:|--:|--:|--:|--:|--:|--:|
|0  | 73|  14|  0|  0|  0|  0|  0|  0|  0|  0|  0|
|00 |  0| 168|  0|  0|  0|  0|  0|  0|  0|  0|  0|
|1  |  0|  36| 42|  0|  0|  0|  0|  0|  0|  0|  0|
|10 |  0|  54|  0|  1|  0|  0|  0|  0|  0|  0|  0|
|11 |  0|  31|  0|  0|  0|  0|  0|  0|  0|  0|  0|
|12 |  0|  13|  0|  0|  0|  0|  0|  0|  0|  0|  0|
|13 |  0|   4|  0|  0|  0|  0|  0|  0|  0|  0|  0|
|2  |  0|  63|  0|  0| 18|  0|  0|  0|  0|  0|  0|
|3  |  0|  85|  0|  0|  0| 11|  0|  0|  0|  0|  0|
|4  |  0|  98|  0|  0|  0|  0|  7|  0|  0|  0|  0|
|5  |  0| 127|  0|  0|  0|  0|  0|  5|  0|  0|  0|
|6  |  0| 122|  0|  0|  0|  0|  0|  0|  3|  0|  0|
|7  |  0| 120|  0|  0|  0|  0|  0|  0|  0|  1|  0|
|8  |  0|  95|  0|  0|  0|  0|  0|  0|  0|  0|  1|
|9  |  0|  60|  0|  0|  0|  0|  0|  0|  0|  0|  0|
|   |  0|  00|  1| 10|  2|  3|  4|  5|  6|  7|  8|
|:--|--:|---:|--:|--:|--:|--:|--:|--:|--:|--:|--:|
|0  | 73|  14|  0|  0|  0|  0|  0|  0|  0|  0|  0|
|00 |  0| 168|  0|  0|  0|  0|  0|  0|  0|  0|  0|
|1  |  0|  36| 42|  0|  0|  0|  0|  0|  0|  0|  0|
|10 |  0|  54|  0|  1|  0|  0|  0|  0|  0|  0|  0|
|11 |  0|  31|  0|  0|  0|  0|  0|  0|  0|  0|  0|
|12 |  0|  13|  0|  0|  0|  0|  0|  0|  0|  0|  0|
|13 |  0|   4|  0|  0|  0|  0|  0|  0|  0|  0|  0|
|2  |  0|  63|  0|  0| 18|  0|  0|  0|  0|  0|  0|
|3  |  0|  85|  0|  0|  0| 11|  0|  0|  0|  0|  0|
|4  |  0|  98|  0|  0|  0|  0|  7|  0|  0|  0|  0|
|5  |  0| 127|  0|  0|  0|  0|  0|  5|  0|  0|  0|
|6  |  0| 122|  0|  0|  0|  0|  0|  0|  3|  0|  0|
|7  |  0| 120|  0|  0|  0|  0|  0|  0|  0|  1|  0|
|8  |  0|  95|  0|  0|  0|  0|  0|  0|  0|  0|  1|
|9  |  0|  60|  0|  0|  0|  0|  0|  0|  0|  0|  0|
